ezor1	sugqjr	ezor2	sugmqor	sfr	prq	psuq	citut	hsbr	m	tarik_hosfa
עיר אשר	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:00:20
עיר אשר	נקרא גם	עיר אשריאל	אותיות						אביתר	2004-10-04 19:42:01
עיר אשריאל	נקרא גם	עיר אשר	אותיות						אביתר	2004-10-04 19:42:01
עיר אשתאול	בתוך	נחלת דן	פסוק	יהושע	יט	41	ויהי גבול נחלתם צרעה ואשתאול ועיר שמש		אביתר	2004-11-09 19:02:51
עיר בארות	בתוך	נחלת בנימין	פסוק	יהושע	יח	25	גבעון והרמה ובארות		אביתר	2004-10-20 20:42:14
עיר בטן	בתוך	נחלת אשר	פסוק	יהושע	יט	24	ויהי גבולם חלקת וחלי ובטן ואכשף		המחשב	2004-08-29 03:26:37
עיר בטן	נקרא גם	עיר אולם	אחר					אולם פירושו בטן , "ובריא אולם"" = בטן שמנה (תהילים)	אביתר	2004-08-29 18:28:31
עיר בטן	נקרא גם	עיר בטנים	אותיות						אביתר	2004-08-29 03:27:33
עיר בטנים	בתוך	נחלת גד	פסוק	יהושע	יג	26	ומחשבון עד רמת המצפה ובטנים וממחנים עד גבול לדבר		המחשב	2004-08-29 03:27:08
עיר בטנים	נקרא גם	עיר בטן	אותיות						המחשב	2004-08-29 03:27:33
עיר במות	בתוך	נחלת ראובן	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:27:17
עיר בעלת	בתוך	נחלת דן	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת		אביתר	2004-11-09 19:14:04
עיר גבע	בתוך	נחלת בנימין	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן		אביתר	2004-10-20 20:38:23
עיר גבעון	בתוך	נחלת בנימין	פסוק	יהושע	יח	25	גבעון והרמה ובארות		אביתר	2004-10-20 20:40:05
עיר גבתון	בתוך	נחלת דן	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת		אביתר	2004-11-09 19:13:28
עיר גזר	בתוך	נחלת אפרים	פסוק	יהושע	טז	10	ולא הורישו את-הכנעני היושב בגזר וישב הכנעני בקרב אפרים ..		אביתר	2004-09-21 18:17:50
עיר גת	בתוך	נחלת זבולון	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:19:22
עיר דאר	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:15:35
עיר דאר	נקרא גם	עיר דור	אותיות						אביתר	2004-09-26 19:16:52
עיר דברת	בתוך	נחלת זבולון	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר ויצא אל-הדברת ועלה יפיע		אביתר	2004-11-16 19:14:19
עיר דבשת	בתוך	נחלת זבולון	פסוק	יהושע	יט	11	ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל-הנחל אשר על-פני יקנעם		אביתר	2004-11-16 19:09:29
עיר דור	נקרא גם	עיר דאר	אותיות						אביתר	2004-09-26 19:16:52
עיר דיבון	בתוך	נחלת ראובן	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:26:36
עיר השחר	בתוך	נחלת ראובן	פסוק	יהושע	יג	19	וקריתים ושבמה וצרת השחר בהר העמק	השחר רשומה בנחלת ראובן	המחשב	2004-08-29 19:39:56
עיר השחר	נקרא גם	עיר שיחור	אותיות						המחשב	2004-08-29 19:32:20
עיר השטים	נקרא גם	בית השטה	אותיות						המחשב	2004-08-30 19:12:47
עיר השמש	נקרא גם	בית שמש	אותיות						אביתר	2004-08-30 18:51:31
עיר השמש	נקרא גם	עיר שמש	אותיות						אביתר	2004-08-30 18:51:57
עיר חגלה	בתוך	נחלת חצי מנשה - מערב	משפחה						אביתר	2004-09-26 19:23:28
עיר חלאה	נקרא גם	עיר חלי	אותיות						המחשב	2004-08-29 19:34:07
עיר חלב	בתוך	נחלת אשר	פסוק	יהושע	יט	29	..ושב הגבול חסה והיו תצאתיו הימה מחבל אכזיבה	נראה לי שהעיר מ-חבל = א-חלב = חלב-ה = חלב	אביתר	2004-09-21 19:04:53
עיר חלה	נקרא גם	עיר חלי	אותיות						המחשב	2004-08-25 19:22:29
עיר חלה	סמוך ל	עיר טוב	פסוק	מיכה	א	13	כי חלה לטוב יושבת מרות ..		אביתר	2004-08-29 22:36:54
עיר חלחול	נקרא גם	עיר חלי	אותיות						המחשב	2004-08-25 19:29:36
עיר חלי	בתוך	נחלת אשר	פסוק	יהושע	יט	24	ויצא הגורל החמישי למטה בני אשר... ויהי גבולם חלקת וחלי ובטן ואכשף...		המחשב	2004-08-25 19:17:41
עיר חלי	נקרא גם	עיר חלאה	אותיות						אביתר	2004-08-29 19:34:06
עיר חלי	נקרא גם	עיר חלה	אותיות						אביתר	2004-08-25 19:22:29
עיר חלי	נקרא גם	עיר חלחול	אותיות						אביתר	2004-08-25 19:29:36
עיר חלי	נקרא גם	עיר חלן	אותיות						אביתר	2004-08-25 19:26:50
עיר חלי	סמוך ל	עיר חלקת	פסוק	יהושע	יט	25		שניהם רשומים בסמיכות בנחלת אשר	המחשב	2004-08-25 19:19:12
עיר חלי	נקרא גם	עיר מחולה	אותיות					האות מ מוספת בהרבה שמות מקומות , למשל מ-כבנה = כבון	המחשב	2004-08-29 03:23:26
עיר חלן	בתוך	נחלת זבולון	פסוק	במדבר	א	9	[נשיא] לזבולן אליאב בן חלן	נרמז גם בברכת משה בדברים לג 19: "עמים הר יקראו שם יזבחו זבחי צדק כי שפע ימים יינקו ושפני טמוני - ח ו ל""	המחשב	2004-08-29 03:25:40
עיר חלן	נקרא גם	עיר חלי	אותיות						המחשב	2004-08-25 19:26:50
עיר חלף	בתוך	נחלת נפתלי	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:19:18
עיר חלק	בתוך	נחלת חצי מנשה - מערב	פסוק	במדבר	כו	30	אלה בני גלעד איעזר משפחת האיעזרי לחלק משפחת החלקי	חלק היה מצאצאי מנשה	המחשב	2004-08-25 19:04:15
עיר חלק	נקרא גם	עיר חלקת	אותיות						אביתר	2004-08-29 03:00:40
עיר חלקת	נקרא גם	חלקת השדה	אותיות						אביתר	2004-08-25 18:53:54
עיר חלקת	בתוך	נחלת אשר	פסוק	יהושע	יט	24	ויצא הגורל החמישי למטה בני אשר... ויהי גבולם חלקת וחלי ובטן ואכשף...		המחשב	2004-08-25 18:41:41
עיר חלקת	סמוך ל	עיר חלי	פסוק	יהושע	יט	25	ויהי גבולם חלקת וחלי ובטן ואכשף...	שניהם רשומים בסמיכות בנחלת אשר	אביתר	2004-08-25 19:19:11
עיר חלקת	נקרא גם	עיר חלק	אותיות						המחשב	2004-08-29 03:00:40
עיר חלקת	נקרא גם	עיר חקק	פסוק	דה"א	ו	59	וממטה אשר את משל ואת מגרשיה ואת עבדון ואת מגרשיה, ואת חוקק ואת מגרשיה, ואת רחב ואת מגרשיה	ביהושע כא 30-31 כתוב "וממטה אשר את משאל ואת מגרשה את עבדון ואת מגרשה, את חלקת ואת מגרשה, ואת רחב ואת מגרשה	אביתר	2004-08-25 18:48:55
עיר חמון	בתוך	נחלת אשר	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		המחשב	2004-09-02 19:22:51
עיר חמון	נקרא גם	עיר חמת	אותיות						אביתר	2004-09-02 19:21:00
עיר חמת	בתוך	נחלת נפתלי	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		המחשב	2004-09-02 19:24:22
עיר חמת	נקרא גם	עיר חמון	אותיות						המחשב	2004-09-02 19:21:00
עיר חנתן	בתוך	נחלת זבולון	פסוק	יהושע	יט	14	ונסב אתו הגבול מצפון חנתן והיו תצאתיו גי יפתח-אל		אביתר	2004-11-16 19:26:27
עיר חסה	בתוך	נחלת אשר	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד-עיר מבצר-צר ושב הגבול חסה		המחשב	2004-09-07 19:34:41
עיר חפר	בתוך	נחלת זבולון	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:20:12
עיר חפר	בתוך	נחלת חצי מנשה - מערב	משפחה						אביתר	2004-10-04 19:43:59
עיר חפר	נקרא גם	עיר חפרים	אותיות						אביתר	2004-11-16 19:57:15
עיר חפרים	בתוך	נחלת יששכר	פסוק	יהושע	יט	19	וחפרים ושיאון ואנחרת		אביתר	2004-11-16 19:55:07
עיר חפרים	נקרא גם	עיר חפר	אותיות						אביתר	2004-11-16 19:57:15
עיר חצור	בתוך	נחלת נפתלי	פסוק	יהושע	יט	36	ואדמה והרמה וחצור		אביתר	2004-11-08 18:35:53
עיר חקק	בתוך	נחלת נפתלי	פסוק	יהושע	יט	32	לבני נפתלי יצא הגורל השישי... ויצא משם חוקוקה...		המחשב	2004-08-25 18:45:50
עיר חקק	נקרא גם	עיר חלקת	פסוק	דה"א	ו	59	וממטה אשר את משל ואת מגרשיה ואת עבדון ואת מגרשיה ואת חוקק ואת מגרשיה ואת רחב ואת מגרשיה	ביהושע כא 30-31 כתוב "וממטה אשר את משאל ואת מגרשה את עבדון ואת מגרשה את חלקת ואת מגרשה ואת רחב ואת מגרשה	המחשב	2004-08-25 18:48:55
עיר חרם	בתוך	נחלת נפתלי	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש..		אביתר	2004-11-08 18:46:54
עיר חרשה	נקרא גם	עיר חרשים	אותיות						אביתר	2004-08-29 18:38:31
עיר חרשה	נקרא גם	עיר חרשת	אותיות						אביתר	2004-08-29 18:38:15
עיר חרשים	נקרא גם	עיר חרשה	אותיות						המחשב	2004-08-29 18:38:31
עיר חרשת	נקרא גם	עיר אכשף	אחר					שרש כשף = חרש (ארמית , ולמעשה גם עברית)	המחשב	2004-08-29 18:37:38
עיר חרשת	נקרא גם	עיר חרשה	אותיות						המחשב	2004-08-29 18:38:15
עיר חשבון	בתוך	נחלת ראובן	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:25:59
עיר טבח	נקרא גם	עיר טוב	אותיות						המחשב	2004-08-29 18:19:31
עיר טבת	נקרא גם	עיר טוב	אותיות						המחשב	2004-08-29 18:19:11
עיר טבת	סמוך ל	עיר מחולה	פסוק	שופטים	ז	23	..עד בית השטה צררתה עד שפת אבל מחולה על טבת		המחשב	2004-08-29 18:21:19
עיר טוב	נקרא גם	עיר טבח	אותיות						אביתר	2004-08-29 18:19:31
עיר טוב	נקרא גם	עיר טבת	אותיות						אביתר	2004-08-29 18:19:11
עיר יבלעם	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:13:58
עיר יבנאל	בתוך	נחלת נפתלי	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:22:00
עיר ידאלה	בתוך	נחלת זבולון	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:31:33
עיר יהוד	בתוך	נחלת דן	פסוק	יהושע	יט	45	ויהד ובני-ברק וגת-רמון		אביתר	2004-11-09 19:25:38
עיר יהץ	בתוך	נחלת ראובן	פסוק	יהושע	יג	17	ויהצה וקדמת ומפעת		אביתר	2005-03-07 19:29:18
עיר יזרעאל	בתוך	נחלת יששכר	פסוק	יהושע	יט	18	ויהי גבולם יזרעאלה והכסולות ושונם		אביתר	2004-11-16 19:50:10
עיר ימה	בתוך	נחלת זבולון	פסוק	יהושע	יט	11	ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל-הנחל אשר על-פני יקנעם		אביתר	2004-11-16 19:08:08
עיר ימין	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:05:33
עיר ינוח	בתוך	נחלת אפרים	פסוק	יהושע	טז	6	..ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 18:04:55
עיר יעזר	בתוך	נחלת גד	פסוק	יהושע	יג	25	ויהי להם הגבול יעזר וכל-ערי הגלעד וחצי ארץ בני עמון ..		אביתר	2005-03-07 20:10:42
עיר יפו	בתוך	נחלת דן	פסוק	יהושע	יט	46	ומי הירקון והרקון עם-הגבול מול יפו		אביתר	2004-11-09 19:32:20
עיר יפיע	בתוך	נחלת זבולון	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר ויצא אל-הדברת ועלה יפיע		אביתר	2004-11-16 19:15:03
עיר יפלט	נקרא גם	בית פלט	אותיות						אביתר	2004-09-02 19:20:07
עיר יפלט	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	טז	3	וירד ימה אל גבול היפלטי עד גבול בית חורן תחתון ועד גזר ..	יפלט רשומה בנחלת יוסף , נראה לי שנפלה בחלקו של מנשה	המחשב	2004-09-02 19:12:25
עיר יפלט	נקרא גם	עיר רחוב	אחר					רחוב = שוק = חוצות = חוץ = לצאת = לשרוד = לפלוט , יפלט מצאצאי אשר	המחשב	2004-09-02 19:19:08
עיר יקנעם	בתוך	נחלת זבולון	פסוק	יהושע	יט	11	ופגע אל-הנחל אשר על-פני יקנעם..		המחשב	2004-09-05 18:34:07
עיר יקנעם	נקרא גם	עיר קנה	אותיות						המחשב	2004-09-05 18:37:55
עיר יראון	בתוך	נחלת נפתלי	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש..		אביתר	2004-11-08 18:45:30
עיר יריחו	בתוך	נחלת אפרים	פסוק	יהושע	טז	7	וירד מינוחה עטרות ונערתה ופגע ביריחו ויצא הירדן		אביתר	2004-09-21 18:08:25
עיר יריחו	בתוך	נחלת בנימין	פסוק	יהושע	יח	21	והיו הערים למטה בני בנימן למשפחותיהם יריחו ובית-חגלה ועמק קציץ		אביתר	2004-10-20 20:00:27
עיר ירפאל	בתוך	נחלת בנימין	פסוק	יהושע	יח	27	ורקם וירפאל ותראלה		אביתר	2004-10-20 20:46:59
עיר ירקון	בתוך	נחלת דן	פסוק	יהושע	יט	46	ומי הירקון והרקון עם-הגבול מול יפו		אביתר	2004-11-09 19:31:38
עיר ישבי	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	7	..והלך הגבול אל הימין אל ישבי עין תפוח..		המחשב	2004-08-30 18:30:10
עיר ישבי	נקרא גם	עיר ישוב	משפחה						המחשב	2004-08-30 18:32:54
עיר ישבי	נקרא גם	עיר רבץ	אחר					רבץ פירושו ישב	אביתר	2004-08-30 18:35:24
עיר ישוב	נקרא גם	עיר ישבי	משפחה						אביתר	2004-08-30 18:32:54
עיר יתלה	בתוך	נחלת דן	פסוק	יהושע	יט	42	ושעלבין ואילון ויתלה		אביתר	2004-11-09 19:07:30
עיר כבול	בתוך	נחלת אשר	פסוק	יהושע	יט	27	בית העמק ונעיאל ויצא אל כבול משמאל		המחשב	2004-09-02 19:01:15
עיר כנרת	בתוך	נחלת נפתלי	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:32:35
עיר כסולות	בתוך	נחלת יששכר	פסוק	יהושע	יט	18	ויהי גבולם יזרעאלה והכסולות ושונם		אביתר	2004-11-16 19:50:52
עיר כסולות	נקרא גם	עיר כסלת	אותיות						אביתר	2004-11-16 19:52:25
עיר כסלת	בתוך	נחלת זבולון	פסוק	יהושע	יט	12	ושב משריד קדמה מזרח השמש על-גבול כסלת תבר ויצא אל-הדברת ועלה יפיע		אביתר	2004-11-16 19:13:18
עיר כסלת	נקרא גם	עיר כסולות	אותיות						אביתר	2004-11-16 19:52:25
עיר כפירה	בתוך	נחלת בנימין	פסוק	יהושע	יח	26	והמצפה והכפירה והמצה		אביתר	2004-10-20 20:44:30
עיר כרמל	נקרא גם	בית הכרם	אותיות						אביתר	2004-08-29 19:03:58
עיר כרמל	בתוך	נחלת אשר	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	כרמל רשומה בנחלת אשר	המחשב	2004-08-29 18:59:12
עיר לבונה	נקרא גם	עיר לבנת	אותיות						המחשב	2004-08-29 20:03:51
עיר לבנה	נקרא גם	עיר לבנת	אותיות						המחשב	2004-08-29 20:03:30
עיר לבנת	בתוך	נחלת אשר	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	לבנת רשומה בנחלת אשר	המחשב	2004-08-29 20:02:47
עיר לבנת	נקרא גם	עיר לבונה	אותיות						אביתר	2004-08-29 20:03:51
עיר לבנת	נקרא גם	עיר לבנה	אותיות						אביתר	2004-08-29 20:03:30
עיר לוז	נקרא גם	בית אל	פסוק	בראשית	כח	19	ויקרא את שם המקום ההוא בית אל ואולם לוז שם העיר לראשנה		אביתר	2004-09-26 18:45:20
עיר לשם	בתוך	נחלת דן	פסוק	יהושע	יט	47	ויצא גבול-בני-דן מהם ויעלו בני-דן וילחמו עם-לשם וילכדו אותה ..		אביתר	2004-11-09 19:36:38
עיר מבצר	בתוך	נחלת נפתלי	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:30:44
עיר מגדו	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן ..ויבלעם .. דאר ..עין-דר ..תענך ..מגדו ..		אביתר	2004-09-26 19:19:48
עיר מחולה	נקרא גם	עיר חלי	אותיות					האות מ מוספת בהרבה שמות מקומות , למשל מ-כבנה = כבון	אביתר	2004-08-29 03:23:26
עיר מחולה	סמוך ל	עיר טבת	פסוק	שופטים	ז	23	..עד בית השטה צררתה עד שפת אבל מחולה על טבת		אביתר	2004-08-29 18:21:19
עיר מחולה	נקרא גם	עיר מחלה	אותיות						אביתר	2004-08-29 03:22:54
עיר מחלה	בתוך	נחלת חצי מנשה - מערב	פסוק	במדבר	כו	33	וצלפחד בן חפר.. ושם בנות צלפחד - מחלה ונעה חגלה מלכה ותרצה.	מחלה היתה בת צלפחד בן חפר בן מנשה	המחשב	2004-08-29 03:21:47
עיר מחלה	נקרא גם	עיר מחולה	אותיות						המחשב	2004-08-29 03:22:54
עיר מידבא	בתוך	נחלת ראובן	פסוק	יהושע	יג	15	ויהי להם הגבול מערוער אשר על-שפת-נחל ארנון והעיר אשר בתוך-הנחל וכל-המישר על-מידבא		אביתר	2005-03-07 19:24:58
עיר מישור	בתוך	נחלת ראובן	פסוק	יהושע	יג	15	ויהי להם הגבול מערוער אשר על-שפת-נחל ארנון והעיר אשר בתוך-הנחל וכל-המישר על-מידבא		אביתר	2005-03-07 19:23:48
עיר מכמתת	בתוך	נחלת אפרים	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 17:47:13
עיר מכמתת	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:02:05
עיר מלך	נקרא גם	עיר אלמלך	אותיות						המחשב	2004-08-29 18:47:02
עיר מלך	נקרא גם	עמק המלך	אותיות						אביתר	2004-11-11 10:32:19
עיר מלכה	בתוך	נחלת חצי מנשה - מערב	משפחה						המחשב	2004-08-29 18:46:22
עיר מלכה	נקרא גם	עיר אלמלך	אותיות						המחשב	2004-08-29 18:47:24
עיר מעון	בתוך	נחלת ראובן	פסוק	יהושע	יג	16	חשבון וכל-עריה אשר במישור דיבון ובמות בעל ובית בעל מעון		אביתר	2005-03-07 19:28:05
עיר מפעת	בתוך	נחלת ראובן	פסוק	יהושע	יג	17	ויהצה וקדמת ומפעת		אביתר	2005-03-07 19:33:43
עיר מצה	בתוך	נחלת בנימין	פסוק	יהושע	יח	26	והמצפה והכפירה והמצה		אביתר	2004-10-20 20:45:09
עיר מצפה	בתוך	נחלת בנימין	פסוק	יהושע	יח	26	והמצפה והכפירה והמצה		אביתר	2004-10-20 20:43:39
עיר מרמה	נקרא גם	עיר תרמה	אותיות						אביתר	2004-10-04 19:07:55
עיר מרעלה	בתוך	נחלת זבולון	פסוק	יהושע	יט	11	ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל-הנחל אשר על-פני יקנעם		אביתר	2004-11-16 19:08:49
עיר משאל	בתוך	נחלת אשר	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	משאל רשומה בנחלת אשר	המחשב	2004-08-29 18:58:32
עיר מתאר	בתוך	נחלת זבולון	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:23:39
עיר נבו	נקרא גם	בית הערבה	אותיות					הר העברים (=עורבים) נבו = בית הערבה (עורבים)	אביתר	2005-03-07 19:52:29
עיר נבו	בתוך	נחלת ראובן	פסוק	במדבר	לב	38	ואת נבו ואת בעל מעון מוסבת שם ואת שבמה		אביתר	2005-03-07 19:43:09
עיר נהלל	בתוך	נחלת זבולון	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..		אביתר	2004-11-16 19:30:11
עיר נעה	בתוך	נחלת זבולון	פסוק	יהושע	יט	13	..גתה חפר עתה קצין ויצא רמון המתאר הנעה		המחשב	2004-09-02 18:55:39
עיר נעה	בתוך	נחלת חצי מנשה - מערב	משפחה					..ואלה שמות בנתיו מחלה ונעה חגלה מלכה ותרצה	המחשב	2004-09-02 18:57:08
עיר נעה	נקרא גם	עיר נעיאל	אותיות						המחשב	2004-09-02 18:58:13
עיר נעיאל	בתוך	נחלת אשר	פסוק	יהושע	יט	27	ופגע בזבולן ובגי יפתח אל צפונה בית העמק ונעיאל		המחשב	2004-09-02 18:53:20
עיר נעיאל	נקרא גם	עיר נעה	אותיות						אביתר	2004-09-02 18:58:13
עיר נערה	בתוך	נחלת אפרים	פסוק	יהושע	טז	7	וירד מינוחה עטרות ונערתה ופגע ביריחו ויצא הירדן		אביתר	2004-09-21 18:06:21
עיר נערה	נקרא גם	עיר נערן	אותיות						אביתר	2004-09-27 18:09:32
עיר נערן	נקרא גם	עיר נערה	אותיות						אביתר	2004-09-27 18:09:32
עיר נקב	בתוך	נחלת נפתלי	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום		אביתר	2004-11-08 18:21:23
עיר עבדון	בתוך	נחלת אשר	פסוק	יהושע	כא	30	וממטה אשר את משאל ואת מגרשה ואת עבדון..		המחשב	2004-09-02 19:05:00
עיר עבדון	נקרא גם	עיר עברן	פסוק	יהושע	כא	30	וממטה אשר את משאל ואת מגרשה ואת עבדון..	ביהושע יט 28 כתוב "עברן" במקום "עבדון". ר מתחלפת לפעמים ב - ד , בגלל הדמיון בצורתם	המחשב	2004-09-02 19:05:00
עיר עברן	בתוך	נחלת אשר	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		המחשב	2004-09-02 19:02:53
עיר עברן	נקרא גם	עיר עבדון	פסוק	יהושע	כא	30	וממטה אשר את משאל ואת מגרשה ואת עבדון..	ביהושע יט 28 כתוב "עברן" במקום "עבדון". ר מתחלפת לפעמים ב - ד , בגלל הדמיון בצורתם	אביתר	2004-09-02 19:05:00
עיר עוים	בתוך	נחלת בנימין	פסוק	יהושע	יח	23	והעוים והפרה ועפרה		אביתר	2004-10-20 20:31:41
עיר עטרות	בתוך	נחלת אפרים	פסוק	יהושע	טז	5	..ויהי גבול נחלתם מזרחה עטרות אדר עד-בית חורון עליון		אביתר	2004-09-21 17:30:26
עיר עיה	בתוך	נחלת אפרים	פסוק	דברי הימים א	ז	28	..ומשבותם בית-אל .. ולמזרח נערן ולמערב גזר .. ושכם .. עד-עיה		אביתר	2004-09-26 18:57:18
עיר עין	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	7	מאשר המכמתת אשר על-פני שכם והלך הגבול אל-הימין אל-ישבי עין תפוח		אביתר	2004-09-26 19:07:43
עיר עכו	נקרא גם	עיר עמה	אותיות					כנראה עמה שיבוש של עכה = עכו	אביתר	2004-09-21 18:57:52
עיר עמה	בתוך	נחלת אשר	פסוק	יהושע	יט	30	ועמה ואפק ורחב ערים עשרים ושתים וחצריהן		אביתר	2004-09-21 18:51:15
עיר עמה	נקרא גם	עיר עכו	אותיות					כנראה עמה שיבוש של עכה = עכו	אביתר	2004-09-21 18:57:52
עיר עמעד	בתוך	נחלת אשר	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	עמעד רשומה בנחלת אשר	המחשב	2004-08-29 18:57:43
עיר עמק	נקרא גם	בית העמק	אותיות						המחשב	2004-08-31 19:24:08
עיר עמק	בתוך	נחלת גד	פסוק	יהושע	יג	24	ויתן משה למטה גד... ובעמק בית הרם ובית נמרה וסכות וצפון		המחשב	2004-08-31 19:30:38
עיר עמק	בתוך	נחלת ראובן	פסוק	יהושע	יג	15	ויתן משה למטה בני-ראובן... וקריתים ושבמה וצרת השחר בהר העמק		המחשב	2004-08-31 19:32:02
עיר עפני	בתוך	נחלת בנימין	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן		אביתר	2004-10-20 20:36:55
עיר עפרה	בתוך	נחלת בנימין	פסוק	יהושע	יח	23	והעוים והפרה ועפרה		אביתר	2004-10-20 20:33:06
עיר עקרון	בתוך	נחלת דן	פסוק	יהושע	יט	43	ואילון ותמנתה ועקרון		אביתר	2004-11-09 19:10:47
עיר ערוער	בתוך	נחלת גד	פסוק	יהושע	יג	24	ויתן משה למטה גד... עד ערוער אשר על פני רבה		אביתר	2005-03-07 19:22:05
עיר ערוער	בתוך	נחלת ראובן	פסוק	יהושע	יג	15	ויתן משה למטה בני ראובן... ויהי להם הגבול מערוער אשר על-שפת-נחל ארנון והעיר אשר בתוך-הנחל וכל-המישר על-מידבא		אביתר	2005-03-07 19:22:05
עיר עתה	בתוך	נחלת זבולון	פסוק	יהושע	יט	13	ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה		אביתר	2004-11-16 19:21:35
עיר פעור	בתוך	נחלת ראובן	פסוק	יהושע	יג	19	ובית פעור ואשדות הפסגה ובית הישמות		אביתר	2005-03-07 19:37:18
עיר פרה	בתוך	נחלת בנימין	פסוק	יהושע	יח	23	והעוים והפרה ועפרה		אביתר	2004-10-04 18:52:57
עיר פרה	נקרא גם	עיר אפרת	אותיות						אביתר	2004-10-04 18:56:59
עיר צדים	בתוך	נחלת נפתלי	פסוק	יהושע	יט	35	וערי מבצר הצדים צר וחמת רקת וכנרת		אביתר	2004-11-08 18:31:18
