tt_kotrt	jm	sug	sugmqor	sfr	prq	psuq	citut	m	tarik_hosfa	ktovt
בית חורון תחתון	בית חורון תחתון	עיר	פסוק	יהושע	טז	3	וירד ימה אל-גבול היפלטי עד-גבול בית-חורון תחתון ועד-גזר והיו תצאתיו ימה	אביתר כהן	2004.9.22 18:32:24	byt_xwrwn_txtwn
בית יער הלבנון	יער הלבנון	בית				0			2006.11.20 12:03:00	byt_yer_hlbnwn
בית לבאות	בית לבאות	עיר	פסוק	יהושע	יט	6	ובית לבאות ושרוחן	אביתר כהן	2005.3.31 21:10:31	byt_lbawt
בית לחם	בית לחם	עיר	פסוק	יהושע	יט	15	וקטת ונהלל ושמרון וידאלה ובית לחם ..	אביתר כהן	2004.10.4 18:49:00	byt_lxm
בית ענות	בית ענות	עיר	פסוק	יהושע	טו	59	ומערת ובית-ענות ואלתקן	אביתר כהן	2005.3.8 20:29:22	byt_enwt
בית ענת	בית ענת	עיר	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש ..	אביתר כהן	2004.11.8 18:44:40	byt_ent
בית פלט	בית פלט	עיר	פסוק	יהושע	טו	27	וחצר גדה וחשמון ובית פלט	אביתר כהן	2004.9.1 19:18:16	byt_plf
בית פצץ	בית פצץ	עיר	פסוק	יהושע	יט	21	ורמת ועין-גנים ועין חדה ובית פצץ	אביתר כהן	2004.11.16 20:00:41	byt_pcc
בית צור	בית צור	עיר	פסוק	יהושע	טו	58	חלחול בית-צור וגדור	אביתר כהן	2004.9.7 19:28:36	byt_cwr
בית רחוב	בית רחוב	עיר	פסוק	שופטים	יח	28	..והיא בעמק אשר לבית רחוב ויבנו את העיר ..	אביתר כהן	2004.9.1 19:11:29	byt_rxwb
בית שאן	בית שאן	עיר	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית-שאן	אביתר כהן	2004.8.30 18:56:38	byt_jan
בית שמש	בית שמש	עיר	פסוק	יהושע	יט	22	ופגע הגבול בתבור ושחצימה ובית שמש ..	אביתר כהן	2004.8.30 18:45:44	byt_jmj
בית שן	בית שן	עיר	פסוק	שמואל א	לא	10	.. ואת-גויתו תקעו בחומת בית שן..	אביתר כהן	2004.8.30 18:58:56	byt_jn
בית תפוח	בית תפוח	עיר	פסוק	יהושע	טו	53	וינים ובית-תפוח ואפקה	אביתר כהן	2005.3.8 20:22:41	byt_tpwx
במות בעל	במות בעל	הר				0			2006.11.20 12:03:00	bmwt_bel
בני ברק	בני ברק	עיר	פסוק	יהושע	יט	45	ויהד ובני-ברק וגת-רמון	אביתר כהן	2004.11.9 19:26:39	bny_brq
בני יעקן	בני יעקן	עיר				0			2006.11.20 12:03:00	bny_yeqn
בריכה עליונה	בריכה עליונה	מים				0			2006.11.20 12:03:00	brykh_elywnh
בריכה עשויה	בריכה עשויה	מים				0			2006.11.20 12:03:00	brykh_ejwyh
בריכה תחתונה	בריכה תחתונה	מים				0			2006.11.20 12:03:00	brykh_txtwnh
בריכת השלח	בריכת השלח	מים				0			2006.11.20 12:03:00	brykt_hjlx
בשן	בשן	הר				0			2006.11.20 12:03:00	bjn
גבעת הא-להים	גבעת הא-להים	הר				0			2006.11.20 12:03:00	gbet_ha-lhym
גבעת המורה	גבעת המורה	הר				0			2006.11.20 12:03:00	gbet_hmwrh
גולות עלית	גולות עלית	עיר				0			2006.11.20 12:03:00	gwlwt_elyt
גולות תחתית	גולות תחתית	עיר				0			2006.11.20 12:03:00	gwlwt_txtyt
גורן כידון	כידון	גורן				0			2006.11.20 12:03:00	gwrn_kydwn
גורן נכון	נכון	גורן				0			2006.11.20 12:03:00	gwrn_nkwn
גיא בן הנם	גיא בן הנם	עמק				0			2006.11.20 12:03:00	gya_bn_hnm
גיא החרשים	החרשים	גיא				0			2006.11.20 12:03:00	gya_hxrjym
גיא המלח	גיא המלח	עמק				0			2006.11.20 12:03:00	gya_hmlx
גיא הצבועים	גיא הצבועים	עמק				0			2006.11.20 12:03:00	gya_hcbweym
גיא מלח	גיא מלח	עמק				0			2006.11.20 12:03:00	gya_mlx
גן המלך	המלך	גן				0			2006.11.20 12:03:00	gn_hmlk
גן עזא	עזא	גן				0			2006.11.20 12:03:00	gn_eza
הבשן	הבשן	הר	פסוק	במדבר	כא	33	ויפנו ויעלו דרך הבשן ויצא עוג מלך הבשן לקראתם הוא וכל עמו למלחמה אדרעי	אראל	2004.9.27 13:45:48	hbjn
הגבעות	הגבעות	שכונה				0			2006.11.20 12:03:00	gbewt
הגלעד	הגלעד	הר	פסוק	בראשית	לא	21	וישג לבן את יעקב ויעקב תקע את אהלו בהר ולבן תקע את אחיו בהר הגלעד	אראל	2004.9.27 13:36:53	hgled
הים הגדול	הים הגדול	ים	פסוק	במדבר	לד	6	וגבול ים והיה לכם הים הגדול וגבול זה יהיה לכם גבול ים	אראל	2004.8.26 19:55:27	hym_hgdwl
הירדן	הירדן	נהר	פסוק	בראשית	לב	11	...כי במקלי עברתי את הירדן הזה...	אראל	2004.9.27 20:59:35	hyrdn
המילוא	המילוא	שכונה				0			2006.11.20 12:03:00	mylwa
המישר	המישר	מישור	פסוק	דברים	ג	10	כל ערי המישר וכל הגלעד וכל הבשן עד סלכה ואדרעי ערי ממלכת עוג בבשן	אראל	2004.9.27 14:00:56	hmyjr
המכמתת	המכמתת	עמק				0			2006.11.20 12:03:00	hmkmtt
המכתש	המכתש	שכונה				0			2006.11.20 12:03:00	mktj
המשנה	המשנה	שכונה				0			2006.11.20 12:03:00	mjnh
העפל	העפל	שכונה				0			2006.11.20 12:03:00	epl
הר - כללי		הר				0			2006.11.20 12:03:00	hr-klly
הר אפרים	אפרים	הר				0			2006.11.20 12:03:00	hr_aprym
הר גלבע	גלבע	הר				0			2006.11.20 12:03:00	glbe
הר גלעד	גלעד	הר				0			2006.11.20 12:03:00	gled
הר גריזים	ריזים	הר				0			2006.11.20 12:03:00	hr_gryzym
הר האמורי	אמורי	הר				0			2006.11.20 12:03:00	hr_hamwry
הר הבית	הבית	הר				0			2006.11.20 12:03:00	hr_hbyt
הר הגלבוע	גלבוע	הר				0			2006.11.20 12:03:00	hr_hglbwe
הר ההר	ההר	הר				0			2006.11.20 12:03:00	hr_hhr
הר הזיתים	זיתים	הר				0			2006.11.20 12:03:00	hr_hzytym
